Experiment iteration,Success,Average total reward,Max total reward,Average scaled reward,Max scaled reward,Trained episodes
0,YES,0.24,0.268,0.003,0.003,100000
1,YES,0.253,0.263,0.003,0.003,100000
2,YES,0.229,0.25,0.003,0.003,100000
3,YES,0.265,0.292,0.003,0.004,100000
4,YES,0.323,0.338,0.004,0.004,100000
5,YES,0.341,0.368,0.004,0.005,100000
6,YES,0.224,0.244,0.003,0.003,100000
7,YES,0.265,0.286,0.003,0.004,100000
8,YES,0.255,0.274,0.003,0.003,100000
9,YES,0.342,0.358,0.004,0.004,100000
