Experiment iteration,Success,Average total reward,Max total reward,Average scaled reward,Max scaled reward,Trained episodes
0,YES,0.345,0.355,0.003,0.004,2400
1,YES,0.35,0.363,0.004,0.004,1600
2,YES,0.36,0.399,0.004,0.004,1500
