Experiment iteration,Success,Average total reward,Max total reward,Average scaled reward,Max scaled reward,Trained episodes
0,YES,0.209,0.242,0.002,0.002,50000
1,YES,0.237,0.257,0.002,0.003,50000
2,YES,0.22,0.242,0.002,0.002,50000
