Experiment iteration,Success,Average total reward,Max total reward,Average scaled reward,Max scaled reward,Trained episodes
0,YES,0.009,0.016,0.0,0.0,50000
1,YES,0.012,0.019,0.0,0.0,50000
2,YES,0.012,0.016,0.0,0.0,50000
3,YES,0.012,0.019,0.0,0.0,50000
4,YES,0.008,0.013,0.0,0.0,50000
