Experiment iteration,Success,Average total reward,Max total reward,Average scaled reward,Max scaled reward,Trained episodes
0,YES,0.151,0.189,0.001,0.002,50000
1,YES,0.148,0.182,0.002,0.002,50000
2,YES,0.142,0.181,0.001,0.002,50000
