Experiment iteration,Success,Average total reward,Max total reward,Average scaled reward,Max scaled reward,Trained episodes
0,YES,0.002,0.004,0.0,0.0,25000
1,YES,0.001,0.002,0.0,0.0,25000
2,YES,0.002,0.007,0.0,0.0,25000
