Experiment iteration,Success,Average total reward,Max total reward,Average scaled reward,Max scaled reward,Trained episodes
0,YES,0.164,0.172,0.002,0.002,50000
1,YES,0.151,0.16,0.002,0.002,50000
2,YES,0.157,0.163,0.002,0.002,50000
